,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
72,XENE,Xenon Pharmaceuticals Inc.,,35.11 +1.33 (+3.94%),1.33,+3.94%,813454,589981,2.687B,-,-16.20%,
73,BBY,"Best Buy Co., Inc.",,61.97 +2.34 (+3.92%),2.34,+3.92%,3.802M,3.949M,13.099B,14.48,-21.54%,
74,IBN,ICICI Bank Limited,,33.22 +1.25 (+3.91%),1.25,+3.91%,7.597M,5.191M,118.312B,20.76,25.72%,
75,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",,24.27 +0.91 (+3.90%),0.91,+3.90%,257556,225134,2.08B,9.59,-33.45%,
76,CX,"CEMEX, S.A.B. de C.V.",,5.40 +0.20 (+3.85%),0.2,+3.85%,10.946M,12.719M,7.9B,8.85,-35.64%,
77,BAX,Baxter International Inc.,,28.89 +1.07 (+3.85%),1.07,+3.85%,5.523M,5.027M,14.818B,-,-29.84%,
78,ETSY,"Etsy, Inc.",,44.15 +1.63 (+3.83%),1.63,+3.83%,2.877M,4.14M,4.727B,18.79,-36.86%,
79,LEVI,Levi Strauss & Co.,,14.65 +0.54 (+3.83%),0.54,+3.83%,3.335M,2.703M,5.792B,16.28,-31.20%,
80,SMMYY,"Sumitomo Metal Mining Co., Ltd.",,5.18 +0.19 (+3.81%),0.19,+3.81%,21523,208183,5.698B,27.26,-38.77%,
81,UPST,"Upstart Holdings, Inc.",,40.92 +1.50 (+3.81%),1.5,+3.81%,2.926M,6.338M,3.89B,-,76.69%,
82,FWONA,Formula One Group,,75.12 +2.75 (+3.79%),2.75,+3.79%,103977,127132,20.429B,-,21.32%,
83,MUR,Murphy Oil Corporation,,21.37 +0.78 (+3.79%),0.78,+3.79%,3.245M,3.385M,3.05B,7.86,-54.44%,
84,FWONK,Formula One Group,,82.79 +3.02 (+3.79%),3.02,+3.79%,1.233M,1.412M,20.428B,-,18.69%,
